Prefix: (Registration Details),Reg No: (Registration Details),Suffix: (Registration Details),Site: (Collection Details)/Site: (Object Data from time of Collecting Event)/Event/Site: (Object Data from time of Collecting Event),Name: (Geological Details),Geo. Details/ Synonym: (Geological Details),Total Weight: (Specimen Details),Type: (Geological Details),Distribution,Acquisition Date: (Acquisition)
MET,1,,"Australia, South Australia, 30km W of Choolkooning Rockhole, and 63km N of Hughes Nullarbor Plain., Nullarbor Plain (29 55 0 S, 129 50 0 E)",,,1977g,Stone. Olivine-hypersthene chondrite (L6),"SAM: MET1Aa 653g, MET1Ab 350g, MET1Ac 139.7g, MET1Ad 152.7g, METIAe 65.6g, MET1Af 237g, MET1Ag 78.3g, MET1Ah 179.4g, MET1Ai 86.2g.  MET1Aa-d interlocked when received.", Mar 1992
MET,2,,"Australia, South Australia, Details are unknown but probably comes from the SE of SA. Specimen was recognised in the collections of SA Mines Dept., South East",,,2.031kg,"Stone. Carbonaceous chondrite, type II (C2)","SAM: MET2Aa 1365g, MET2Ab 41.3g. AUGD: 38g, AM(NH): 1.8g",1983
MET,3,,"Australia, South Australia, Eight miles NW of Old Carraweena Head Station on the side of a sandhill., Far North (29 4 0 S, 139 55 0 E)",,,20.81kg,Stone. Olivine-hypersthene chondrite (L6),"SAM: MET3Aa 454.8g, MET3Ab 699g, AUGD: 20kg, USNM: 375g, AMNH: 5.7g, BMNH: 85g",
MET,4,,"Australia, South Australia, On flood plain of Brachina Creek, 7km W of railway line., Flinders Ranges (31 18 0 S, 138 23 0 E)",,,202.85g,"Stone. Achondrite, Ca-poor (ACANOM)","SAM: MET4Aa 142g, MET4Ab 8.8g, MET4Ac 8.4g, MET4Ad 3.2g, MET4Ae 1.24g, MET4Af 3.05g. Cast in Discovery Centre",1974
MET,5,,"Australia, South Australia, 12km SW of Buckleboo railway siding.  Found whilst ploughing., Eyre Peninsula (32 57 20 S, 136 8 15 E)",,,992g,Stone. Olivine-bronzite chondrite (H6),"SAM: MET5Aa 972g, MET5Ab 20.2g", Sep 1978
MET,6,,"Australia, South Australia, 5km from Morgan, on E side of River Murray, Riverland (34 4 0 S, 139 45 0 E)",,,3.29kg,Stone. Olivine-hypersthene chondrite (L6),"SAM: MET6Aa 2.382kg, MET6Ab 434g, MET6Ac 70g, (Met6Ac in Discovery Centre), USNM: 71g.", May 1910
MET,7,,"Australia, South Australia, At an aboriginal campsite, 7 miles S of Caroline, near the Glenelg River, South East (38 0 0 S, 139 45 0 E)",,,800g,Stone. Olivine-bronzite chondrite (H5),"SAM: MET7Aa 31.7g, MV: 750g, USNM: 13g.",10 Jan 1963
MET,8,,"Australia, South Australia, 6 miles SW of Old Carraweena Station, Far North (29 14 0 S, 139 56 0 E)",,ACCALANA,31.74kg,Stone. Olivine-hypersthene chondrite (L3),"(CARRAWEENA) SAM: MET8Aa 21.77kg, 8Ab 700g, 8Ac 297g, 8Ad 34.4g, 8Ae 23g, 8Af 14.3g, 8Ag 13.3g, 8Ah 42.9g, 8Ai 45.1g, 8Aj 72.3g, 8Ca 47.8g, (ACCALANA) 8Ba 2.497kg, see remarks for OS holdings",1914
MET,9,,"Australia, South Australia, 0.75 miles W of Cocunda Rocks, Eyre Peninsula (32 49 0 S, 134 48 0 E)",,,482g,Stone. Olivine-hypersthene chondrite (L6),"SAM: MET9Aa 375g, AMNH: 0.8g",1946
MET,10,,"Australia, South Australia, 2 small masses, 2km E of Motpena homestead & 12km NW of Commodore railway station, near Parachilna, Flinders Ranges (31 12 0 S, 138 18 0 E)",,,304.3g,Stone. Chondrite (H6),"SAM: MET10Aa 91.6g, MET10Ab 97.2g",17 May 1972
MET,11,,"Australia, South Australia, One mass found in 1939 by G Ninnis, 13km E of Coomandook. Second mass found by R Goodall in Jan 1967 in paddock 6km NE of Ki-Ki., South East (32 25 0 S, 139 45 0 E)",,"COOMANDOOK I, COOMANDOOK II, KI-KI",5.25kg,Stone. Olivine-bronzite chondrite (H6),"(COOMANDOOK I) SAM: MET11Aa 845.4g, (COOMANDOOK II) SAM: MET11Ba 4.217kg, 11Bb 40.5g, 11Bc 41.1g, 11Bd 119g, 11Be 50.5g, USNM: 11g", Jan 1967
MET,12,,"Australia, South Australia, In sand dunes 5.5km W of Coonana Bore., Far North (29 51 0 S, 140 42 0 E)",,,6.80kg,Stone. Olivine-bronzite chondrite (H4),"SAM: MET12Aa 4.35kg, MET12Ab 370g, MET12Ac 22.8g, MET12Ad 54.6g AMNH: 17g, BMNH: 20.5g", Dec 1962
MET,13,,"Australia, South Australia, 48km NW of Cleve, close to the location of the Kyancutta mass., Eyre Peninsula (33 18 0 S, 136 1 0 E)",,CARALUE.,5.72kg,"Iron. Octahedrite, medium (1.2mm)(IIIA)","SAM: MET13Aa 128g (set in resin), MET13Ab 92.9g, AUGD: main mass, BMNH: 96.5g", Jul 1972
MET,14,,"Australia, South Australia, On a granite hill 0.4km N of East Crocker uranium prospect, near Croker Well camp, NW of Plumbago Station, Olary Province., Far North (32 1 0 S, 139 47 0 E)",,CROCKER WELL,3.8g,Stone. Chondrite (LL7) breccia.,SAM: MET14AA 2.3g.,13 Jun 1956
MET,15,,"Australia, South Australia, On loamy plain 6.8km NNW of Ethiudna Hill and NW of Plumbago Station, Flinders Ranges., Flinders Ranges (31 59 0 S, 139 46 0 E)",,,74.318kg,Stone. Olivine-hypersthene chondrite (L4a),"SAM: MET15Aa 74kg, MET15Ab 30.6g.",21 May 1985
MET,16,,"Australia, South Australia, On the property of E G Voumard, near Kaldoonera Hill, Eyre Peninsula., Eyre Peninsula (32 37 0 S, 134 51 0 E)",,,7.49kg,Stone. Olivine-bronzite chondrite (H6),"SAM: MET16A 4.577kg, MET16Ba 1.857kg, MET16Bb 6.3g, MET16Bc 41.2g MET16Ca 2.584kg, MET16Da 230g, G8215 missing, AMNH: 478g, MAX PLANCK INST: 38G, USNM: 1.4g.",27 Jun 1956
MET,17,,"Australia, South Australia, On top of sandhill 3 miles S of Kyancutta, Section 11, Hundred of Kappakoola, Eyre Peninsula., Eyre Peninsula (33 15 0 S, 135 32 0 E)",,,392.5g,Stone. Olivine-bronzite chondrite (H6) brecciated.,"SAM: MET17Aa 8.1g, USNM: 0.7g, BMNH: 45g. Main mass was at AUGD but may be lost.",20 Dec 1973
MET,18,,"Australia, South Australia, Fell on the night of 25/11/1930. Found in a fallowed sandy wheat field, 3.5km E of Karoonda., Murraylands (39 5 0 S, 139 55 0 E)",,KAROONA,41.73kg,Stone. Carbonaceous chondrite (C5).,"SAM: MET18Aa 3.605kg, 18Ba 837g, 18Ca 153g, 18Da 31g, 18Ea 14.7g, 18Fa 12.5g, 18Ga 28.9g, 18Ha 290g, 18Ia 143g, G5999 & G6004 lost, AMNH: 1.3kg, AUST MUS: 151g, MAX PLANCK: 127g, USNM: 123g, cont'd",1930
MET,19,,"Australia, South Australia, 16km W of the Kielpa railway siding.  Appears to be about one third of the original stone which has not been found., Eyre Peninsula (33 36 0 S, 136 6 0 E)",,,13.6kg,Stone. Olivine-bronzite chondrite (H5),"SAM: MET19Aa 2.034kg, AUGD: main mass, USNM: 351g, BMNH: 275g.", Feb 1972
MET,20,,"Australia, South Australia, On a hardened part of a sand dune, about 1km N of the NW tip of Lake Kittakittaooloo, Tirari Desert., Lake Eyre Basin (28 2 0 S, 138 8 0 E)",,,3.6kg,Stone. Olivine-bronzite chondrite (H4).,"SAM: MET20Aa 3.478kg, USNM: 10g", Apr 1971
MET,21,,"Australia, South Australia, In sandy paddock, 35km ESE of Kyancutta., Eyre Peninsula (33 17 0 S, 136 0 0 E)",,,32.6kg,"Iron. Octahedrite, medium (1.1mm) (IIIA)","SAM: MET21Aa 861g, MET21Ab 151g MET21Ac 16.8kg, ANU: main mass, AUST MUS: 1.36kg, FIELD MUS: 1.41kg, USNM: 754g, WAM: 750g, ARIZ. STATE UNIV: 464g, BMNH: 350.4g, 29g, 19g.",
MET,22,,"Australia, South Australia, KI found by G Wiech 1963, KII in 1971. KIII by I Schumacher in 1971, purchased by D McColl 1972., Mid North (33 54 0 S, 138 29 0 E)",,"KYBUNGA I, KYBUNGA II, KYBYNGA III",7.880kg,Stone. Olivine-hypersthene chondrite (L5),"(KI) SAM: MET22Aa 2.262kg, MET22Ab 490g, (KII) MET22Ba 93.9g, AUGD: 2.4kg, USNM: 94g, FIELD MUS: 8g.",1969
MET,23,,"Australia, South Australia, Four stones found within an area of a half mile radius close to Jacky Point, Lake Bonney., South East (37 45 0 S, 140 18 0 E)",,,2.75kg,Stone. Olivine-hypersthene chondrite (L6),"SAM: MET23Aa 1.905kg, MET23Ba 252g, MET23Bb 101g, MET23Bc 25.2g, MET23Bd 10.6g, METCa 41.9g.", Dec 1962
MET,24,,"Australia, South Australia, Original stone collected by B Austin 8 miles N of Peela rock hole Wilgena Station. Bulk of material collected by R Bedford 10/1934, Eyre Peninsula (30 20 0 S, 134 45 0 E)",,,25.85kg,"Stone. Olivine-hypersthene chondrite, amphoterite (LL6)xenolithic","SAM: MET24Aa 1.462kg, MET24Ab 33.2g, ANU: main mass, ARIZ. STATE UNIV: 3.6kg, USNM: 1085g, AMNH: 767g, WAM: 450g, AM: 326g, PARIS MUS. D'HIST. NAT: 219g, FIELD MUS: 113g, BMNH: 3.465kg",
MET,25,,"Australia, South Australia, In the backyard of Mr Radomi's property at 21 Traeger St, Loxton., Riverland (34 27 0 S, 140 34 0 E)",,,22g,Stone. Olivine-hypersthene chondrite (L5),SAM: MET25Aa 8g.,21 Mar 1984
MET,26,,"Australia, South Australia, Found by Mr Smith while ploughing on his property near Mangalo., Eyre Peninsula (33 34 0 S, 136 39 0 E)",,,1050g,Stone. Olivine-hypersthene chondrite (L6),"SAM: MET26Aa 660g, MET26Ab 112g, MET26Ac 35.3g, MET26Ad 41.3g.",
MET,27,,"Australia, South Australia, No details about the find are known., Far North (29 24 0 S, 139 59 0 E)",,MONTE COLLINA,116.8g,Stone. Olivine-hypersthene chondrite (L3),"SAM: MET27Aa 6.0g, MET27Ab 71.84g, MET27Ac 5.84g, AMNH: 5.1g",
MET,28,,"Australia, South Australia, Adjacent to Anna Creek Station's Moorumbunna Paddock, 11km W of William Creek railway station., Far North (28 55 0 S, 136 15 0 E)",,,76.9kg,"Iron. Octahedrite, medium (0.9mm) (IIIA).","SAM: MET28Aa 2995g, MET28Ab 585g, AUGD: 70kg, FIELD MUS: 53g, UCLA: 45g, BMNH: 491g.",1966
MET,29,,"Australia, South Australia, On Motpena station, in a claypan 13km NW of Parachilna railway siding., Flinders Ranges (31 6 0 S, 138 16 0 E)",,PARACHILNA,8.81kg,Stone. Olivine-hypersthene chondrite (L6).,"SAM: MET29Aa 1362g, MET29Ab 9.2g, MET29Ac 12.9g, MET29Ad 41.7g, MET29Ae 46.5g, MET29Af 17.5g, MET29Ag 19.8g, MET29Ah 11.4g, ANU: 4.71kg, BM(NH): 443g.",20 Jan 1969
