id,TITLE,CREATOR,INNOPAC,LINK,coverage_place,COVERAGE_REGION,FILE_BROWSE,FURTHER_INFO,,LATITUDE,LONGITUDE,ORIGINAL_FORMAT,PUBLISHER,PLACE_OF_CREATION,ADDITIONAL_CREATOR,COVERAGE_PERIOD,COVERAGE_YEAR
1007,Mannum-Adelaide pipeline [film],"Axer, Ron (Ronald Alexander), 1922-1979",http://www.catalog.slsa.sa.gov.au/record=b2193887,http://www.samemory.sa.gov.au/site/page.cfm?c=1007,Mannum,Mt Lofty Ranges and Eastern Plain,<link>/webdata/resources/images/ssAdelaidetoMannum.jpg</link> ,"<div><div> <p>World War Two hastened the need for industrial development in Australia and the post-war period emphasised the country's need to adopt newer methods of development to achieve growth.</p> <p>As South Australia engaged in more secondary industry and the population increased, reliable water supplies became a major concern. The available sites for reservoirs to hold surface run-off had already been exploited and it became clear that piping water from the River Murray would be the most significant means to increase water supply to settled areas for the future.</p> <p>Construction began on the Mannum-Adelaide Pipeline in 1951 and by 1955 the line was supplying water to Adelaide. This film footage showing scenes of the construction of the Mannum-Adelaide Pipeline in the early 1950s was taken by amateur filmmaker Ron Axer. Axer, a returned service-man and newsagent in Mannum, recorded many local River scenes and events between 1950 and 1974.</p> </div></div>",,-34.91,139.3,Film,,Mannum,,1946-1979,NULL
1011,Flood scenes at Mannum,"Axer, Ron (Ronald Alexander), 1922-1979",http://www.catalog.slsa.sa.gov.au/record=b2193894,http://www.samemory.sa.gov.au/site/page.cfm?c=1011,Mannum,Riverland and Murraylands,<link>/webdata/resources/images/SSMannumFlood.jpg</link> ,,,-34.91,139.3,Film,,Mannum,,1946-1979,NULL
1165,Terra Australis charted,"Thevenot, M. (Melchisedech), 1620?-1692",http://www.catalog.slsa.sa.gov.au/record=b1633680,http://www.samemory.sa.gov.au/site/page.cfm?c=1165,Australia,,<link>http://images.slsa.sa.gov.au/samemory/maps/exploration/thevenot_i16806815/rcm_aus_1663-73p_i16806815.jpg</link> ,"<div><div> <blockquote class=pullquote><img align=right height=42 src=/webdata/graphics/iconZoomMap.gif width=40/>View a <a href=http://images.slsa.sa.gov.au/samemory/zoom/thevenot_i16806815/i16806815.htm target=_blank title=http://images.slsa.sa.gov.au/samemory/zoom/thevenot_i16806815/i16806815.htm>zoomable</a> version.</blockquote> <p>Thevenot's map was the first map produced that was devoted entirely to Australia, and shows all of the Dutch discoveries of the Western Australian, North Australian, Tasmanian and a small section of the South Australian coast to the Islands of Saint Francis and Saint Peter (Nuyts Archipelago). 'Land van P. Nuyts' includes the first section of the South Australian coast which was discovered in January 1627. The map also includes the west coast of New Zealand (the two islands shown joined), and the south coast of New Guinea, which appears as if it may be joined to Australia. (Torres' discovery of the strait between was secret for many years.) Previous maps that showed the extent of knowledge of Australia's coast had been maps of the world or of the South Asian, East Indies region.</p> <p>The map is in volume 1 of <em>Relations de divers voyages cvrievx [i.e., curieux], ....</em> by Melchisedech Thevenot, a collection of travels and voyages. It is tipped in between first and second pages of <em>La Terre Australe descouverte par le Capitaine Pelsart ...</em> numbered pp. 50, 51. Note: each section of the volume is separately paged. The map was widely disseminated and copied and was used in 1744 by Emanuel Bowen for John Harris' <em>Navigantium atque itinerarium bibliotheca...,</em> with additional annotations.</p> </div></div>",,-28.61,137.13,Book,De l&apos;imprimerie de Iacqves Langlois,Paris,,,NULL
1174,Hindmarsh Island is named,"James, T. Horton (Thomas Horton)",http://www.catalog.slsa.sa.gov.au/record=b2163082,http://www.samemory.sa.gov.au/site/page.cfm?c=1174,South Australia,Fleurieu Peninsula,<link>http://images.slsa.sa.gov.au/samemory/exploration/James/spi13109194/spi13109194_283.jpg</link> ,"<div><div>  <p>Charles Sturt had navigated the River Murray in 1829-30, and had reached Lake Alexandrina on 9 February 1830. George McLeay was the second in command on this expedition. Strangways and Hutchinson erected a pole at Point Sturt with the date 6 December 1837. </p>  <p>The area that was named Hindmarsh Island was later to be the subject of much upheaval and unrest for the decendants of its original inhabitants, the Narrindjeri people, especially in relation to the notion of <a href=http://www.dreamtime.net.au/dreaming/secret.htm title=Dreamtime>secret/sacred</a> material and 'womens' business'. </p>  <p>The most contentious issue related to Aboriginal rights in South Australia during the 1990s was the debate that occurred in relation to the construction of a bridge from Goolwa to Kumarangk [Hindmarsh Island]. The issue arose in the context of the development of a marina and bridge being approved for the Island in 1990. Although construction of the bridge began in October 1993 it was soon halted in response to protests. In early 1994 objection to the bridge construction suggested the site for the bridge was sacred and related to sacred women's business for the local Ngarrindjeri women. Protests, legal action and emergency declarations under the Aboriginal and Torres Strait Islander Heritage Protection Act of 1984, led to the first report, the Saunder's Report, finding that Ngarrindjeri women considered the area crucial for the Ngarrindjeri people. On 8 July 1994 Minister Tickner issued a declaration protecting the proposed site for 25 years. This declaration was overturned in the Federal Court on appeal.</p>  </div></div>",,-29.38,135.86,Book,J. Cross,London,,1836-1851,NULL
1319,Colonists&apos; experiences: Sarah Mundon,"Mundon, Sarah",http://www.catalog.slsa.sa.gov.au/record=b2162796,http://www.samemory.sa.gov.au/site/page.cfm?c=1319,Klemzig,,<link>http://images.slsa.sa.gov.au/samemory/communityVoices/B7188_10.jpg</link> ,<div><div>  <p>Image: FR Nixon <em><a href=http://catalog.slsa.sa.gov.au/record=b2027589>Klemzig</a></em> (German village on the Torrens). 1845</p>  </div></div>,,-34.88,138.63,Letter,,Klemzig,,1836-1851,NULL
1403,Panorama of Adelaide 1865,"Duryea, Townsend, 1823-1888, photographer",http://www.catalog.slsa.sa.gov.au/record=b2089906,http://www.samemory.sa.gov.au/site/page.cfm?c=1403,Adelaide,Adelaide city,<link>http://images.slsa.sa.gov.au/samemory/architecture/B5099_1.jpg</link> ,<div><div>  <p>There are 14 pictures which complete the panorama which when seen together give a bird's eye view of colonial Adelaide and the building activity of the time. The vista extends as far as the parklands and an interesting feature is the lack of trees at this time.</p>  <p>The method of photography Duryea used in 1853 is the wet plate process which had superseded the daguerrotype.</p>  <p><a href=http://www.catalog.slsa.sa.gov.au/record=b2112267 title=http://www.catalog.slsa.sa.gov.au/record=b2112267 target=_self>See also</a> the Townsend Duryea panorama of Adelaide made in 1870 from the tower of the Adelaide General Post Office.</p>  </div></div>,,-34.93,138.59,Photograph,,,,1852-1883,NULL
1412,Junction of the Murray and Lake Alexandrina,"Skipper, John Michael,  1815-1883",http://www.catalog.slsa.sa.gov.au/record=b2038445,http://www.samemory.sa.gov.au/site/page.cfm?c=1412,Lake Alexandrina,,<link>http://images.slsa.sa.gov.au/samemory/exploration/sturt/PRG50_034_006.jpg</link> ,"<div><div> <p>Governor George Gawler's 1839 expedition up the River Murray to the North West Bend (Morgan) prepares to depart from Lake Alexandrina. Two of the ladies who accompanied the expedition, most likey to be Julia Gawler and Charlotte Sturt can been seen on the far side of the boat. The third woman Eliza Arbuckle, Mrs Sturt's maid cannot be seen. The artist John Michael Skipper did not accompany the expedition and based his watercolour on a sketch by Gawler. Several Aboriginal people can be seen to the left at a campfire; an Aboriginal man accompanied the expedition upstream to ease its passage through the territories of the various tribes along the way. Another group of men rode the horses north along the river banks; these would be used to explore north-west from the major bend in the River Murray.</p> Gawler's expedition intended to explore north-west from the big bend in the River Murray seeking good agricultural or grazing lands. When the boat reached the bend Gawler set out with Charles Sturt, Henry Inman, Arthur Gell, Henry Bryan and several others on their explorations. The remainder of the party including the women remained at the Bend. Lack of water and high summer temperatures forced an early return of Gawler's party to the River. Unfortunately Henry Bryan was lost in the bush and despite prolonged searching no trace of him was ever found. Mount Bryan is named for him.</div></div>",,-35.43,139.15,Artwork,,,,,NULL
1425,South Australia at the time of settlement,"Torrens, Robert, 1780-1864",http://www.catalog.slsa.sa.gov.au/record=b1409247,http://www.samemory.sa.gov.au/site/page.cfm?c=1425,South Australia,,<link>http://images.slsa.sa.gov.au/samemory/maps/exploration/torrens_i16834112/zcm_sa_1835e_i16834112.jpg</link> ,"<div><div> <blockquote class=pullquote><img align=right height=42 src=/webdata/graphics/iconZoomMap.gif width=40/>View a <a href=http://images.slsa.sa.gov.au/samemory/zoom/torrens_i16834112/i16834112.htm target=_blank title=http://images.slsa.sa.gov.au/samemory/zoom/torrens_i16834112/i16834112.htm>zoomable</a> version.</blockquote> <p>This map of Part of Southern Australia was published in Robert Torrens' book <em>Colonization of South Australia,</em> first published in 1835. Torrens was an advocate of emigration and a member of the South Australian Association which was agitating for a settlement in South Australia. The map reveals the current state of knowledge of the country at the time the book was first issued in June 1835, that is prior to actual settlement. It draws on the charting of the coast by Matthew Flinders and Nicolas Baudin in 1802, including inland features such as Mounts Brown and Arden, Hummock and Barn Hills, the discovery of the River Murray and Lake Alexandrina by Charles Sturt in 1829, several rivers on the Fleurieu Peninsula by Collet Barker in 1830 and information about Kangaroo Island provided by Captain George Sutherland, a sealer, in 1831. Other than this the country is completely unknown, both for its geographical features and its real potential.</p> <p>Further exploration of the South Australian landscape would commence in earnest in late 1836 with the arrival of Colonel William Light, the Surveyor General who would assess the country for the best site for the main town, and subsequently by the colonists themselves as they pushed out from Adelaide in search of pastures for their stock and mineral wealth. By 1862, 26 years after first settlement, John McDouall Stuart would have explored through the centre of the continent to the North Coast of Australia, and ten years later a telegraph line along his route would connect Australia telegraphically to the rest of the world.</p> </div></div>",,-29.38,135.86,Book,Longman Rees Orme Brown Green and Longman,London,,,NULL
1457,An Agnostic&apos;s progress,"Spence, Catherine Helen, 1825-1910",http://www.catalog.slsa.sa.gov.au/record=b2163225,http://www.samemory.sa.gov.au/site/page.cfm?c=1457,Adelaide,, <link>http://images.slsa.sa.gov.au/samemory/religion/Diversity/SLi10404946_c.jpg</link> ,"            <div>              <div>Catherine Helen Spence wrote in her autobiography, in reference to this book, 'To the modern pilgrim God reveals Himself in Nature, in art, in literature, and in history'. This book was written by the well-known South Australian author, and political and social activist, as an exploration of her belief that agnostics were also spiritually inclined, good people. Based on John Bunyan's <em>Pilgrim's progess,</em> Spence explored her own thoughts and religious journey as her protagonist, Quaestor, travels from the City of Superstition to the Home of Truth. The author read the completed manuscript to her friends Robert and Joanna Barr Smith, who took it to London and had the book printed and published at their own expense.</div>            </div>          ",,-34.93,138.59,Book,,,,,NULL
1458,Archbishop Reynolds,"Chinner, J.H. (John Henry), 1865-1933",http://www.catalog.slsa.sa.gov.au/record=b2163226,http://www.samemory.sa.gov.au/site/page.cfm?c=1458,Adelaide,, <link>http://images.slsa.sa.gov.au/samemory/religion/Personalities/Zperi11619569_18751120_008_crop.jpg</link> ,"            <div>              <div>                <span>Christopher Reynolds was born in Dublin in 1833, and joined an Italian Benedictine monastery as a young man, seeking to be trained for missionary work in the Northern Territory. He and fellow Irishman, Frederick Byrne, asked to continue their studies at New Norcia, near Perth, Western Australia. However, due to church disputes the two men travelled to Adelaide in 1857. Both were sent to Sevenhill to train for the priesthood and were ordained in 1860. Reynolds then became parish priest of Wallaroo. In 1872 he came to Adelaide as Administrator of the Diocess of Adelaide following controversies which culminated in the death of Bishop Shiell. Reynolds was consecrated as Shiell's successor in 1873 at the age of 40. Bishop Reynolds initially gave his full support to Mary MacKillop and her order, and to the expansion of church schools, however, he later reversed his policy due to church debts, which resulted in MacKillop moving her sisters to Sydney. In 1887 Reynolds was made Archbishop. He was a particularly fine preacher. Archbishop Reynolds died in 1893.</span>              </div>            </div>          ",,-34.93,138.59,Cartoon,,,,,NULL
